Page,Similarity%,Status
appuntamento-05-riepilogo,7.3,FAIL
segnalazione-dettaglio,5.9,FAIL
appuntamento-03-dettagli,8.0,FAIL
segnalazione-02-dati,7.8,FAIL
homepage,5.9,FAIL
appuntamento-06-conferma,5.9,FAIL
segnalazione-01-privacy,9.4,FAIL
appuntamento-02-data-orario,6.2,FAIL
servizi-categoria,4.9,FAIL
servizio-dettaglio,4.3,FAIL
argomento,4.9,FAIL
argomenti,6.3,FAIL
evento-dettaglio,3.6,FAIL
novita-dettaglio,5.4,FAIL
novita,4.9,FAIL
appuntamento-04-richiedente,8.0,FAIL
mappa-sito,8.3,FAIL
segnalazione-04-conferma,7.9,FAIL
servizi,5.5,FAIL
amministrazione,6.1,FAIL
domande-frequenti,5.7,FAIL
appuntamento-01-ufficio,7.4,FAIL
segnalazione-03-riepilogo,7.2,FAIL
assistenza-01-dati,7.5,FAIL
