Page,RefElements,LocalElements,MatchElements,Similarity,Status
homepage,835,777,774,99.6,PASS
amministrazione,600,486,480,98.7,PASS
argomenti,703,586,587,100.1,PASS
argomento,714,446,447,100.2,PASS
servizi,726,516,494,95.7,PASS
servizi-categoria,662,405,406,100.2,PASS
servizio-dettaglio,876,472,467,98.9,PASS
novita,709,422,419,99.2,PASS
novita-dettaglio,664,415,407,98.0,PASS
eventi,788,434,432,99.5,PASS
evento-dettaglio,904,389,388,99.7,PASS
documenti-dati,698,442,438,99.0,PASS
domande-frequenti,766,626,627,100.1,PASS
risultati-ricerca,1023,673,673,100.0,PASS
mappa-sito,614,473,384,81.1,FAIL
segnalazioni-elenco,774,839,754,97.4,PASS
segnalazione-dettaglio,803,620,618,99.6,PASS
appuntamento-01-ufficio,481,462,435,94.1,PASS
appuntamento-02-data-orario,517,506,423,83.5,FAIL
appuntamento-03-dettagli,489,384,382,99.4,PASS
appuntamento-04-richiedente,488,384,381,99.2,PASS
appuntamento-05-riepilogo,532,384,382,99.4,PASS
appuntamento-06-conferma,604,417,407,97.6,PASS
assistenza-01-dati,523,407,406,99.7,PASS
assistenza-02-conferma,525,384,382,99.4,PASS
segnalazione-01-privacy,429,384,380,98.9,PASS
segnalazione-02-dati,558,530,530,100.0,PASS
segnalazione-03-riepilogo,522,384,381,99.2,PASS
segnalazione-04-conferma,550,522,488,93.4,PASS
